OM1,OM2,OM3,OM4,OM5,OM6,OM7,OM8,OM9,OM10,OM11,OM12,om_time,LASK1,LASK2,LASK3,LASK4,lask_time
4297,4897,4965,4921,4625,4853,5020,4952,4464,4776,4421,4628,0.0029993057250976562,5177,5073,4989,5096,0.00099945068359375
4305,4892,4952,4952,4633,4849,5029,4956,4469,4772,4420,4640,0.004002094268798828,5177,5076,4992,5096,0.0059969425201416016
4301,4889,4960,4960,4641,4861,5021,4949,4469,4777,4428,4644,0.019590139389038086,5173,5073,4992,5101,0.0371246337890625
4293,4888,4957,4944,4633,4852,5017,4952,4465,4781,4424,4625,0.021585702896118164,5188,5076,4984,5097,0.03911709785461426
4309,4901,4964,4949,4612,4864,5013,4949,4476,4777,4416,4629,0.036118268966674805,5169,5069,4981,5092,0.05391693115234375
4292,4896,4977,4952,4641,4849,5021,4949,4468,4781,4424,4628,0.038117170333862305,5189,5084,4988,5096,0.0549163818359375
4285,4896,4976,4956,4661,4861,5025,4949,4465,4780,4417,4621,0.07010197639465332,5173,5076,4992,5112,0.08550906181335449
4285,4896,4976,4956,4661,4861,5025,4949,4465,4780,4417,4621,0.07010197639465332,5185,5152,4980,5072,0.08950591087341309
4301,4909,4964,4952,4641,4860,5013,4948,4472,4781,4420,4620,0.0875086784362793,5177,5076,4992,5105,0.10514283180236816
4289,4901,4981,4952,4660,4857,5028,4956,4476,4773,4425,4629,0.10614204406738281,5177,5077,4993,5101,0.12032651901245117
4289,4901,4981,4952,4660,4857,5028,4956,4476,4773,4425,4629,0.10614204406738281,5180,5068,4989,5093,0.12132859230041504
4292,4892,4953,4953,4665,4856,5017,4949,4473,4781,4420,4632,0.11932492256164551,5169,5077,4993,5100,0.13874006271362305
4300,4924,4952,4945,4648,4861,5020,4953,4480,4780,4424,4624,0.13574504852294922,5180,5068,4985,5105,0.15393447875976562
4300,4920,4965,4957,4656,4860,5013,4952,4476,4777,4420,4625,0.1377410888671875,5181,5077,4992,5092,0.15607690811157227
4297,4900,4965,4952,4661,4857,5009,4957,4484,4777,4420,4621,0.152940034866333,5173,5073,4992,5097,0.17168045043945312
4284,4900,4968,4944,4673,4853,5012,4952,4476,4777,4417,4605,0.1704864501953125,5176,5069,4992,5092,0.18408465385437012
4284,4900,4968,4944,4673,4853,5012,4952,4476,4777,4417,4605,0.1704864501953125,5177,5081,4992,5096,0.18508362770080566
4284,4900,4968,4944,4673,4853,5012,4952,4476,4777,4417,4605,0.1704864501953125,5177,5077,4993,5097,0.18854784965515137
4312,4904,4977,4953,4680,4849,5004,4952,4477,4777,4420,4637,0.18208694458007812,5180,5072,4989,5100,0.1974470615386963
4312,4904,4977,4953,4680,4849,5004,4952,4477,4777,4420,4637,0.18208694458007812,5180,5069,4993,5104,0.19942998886108398
4296,4889,4961,4953,4684,4857,5012,4952,4473,4780,4421,4637,0.18308544158935547,5176,5080,4980,5101,0.20242762565612793
4264,4896,4964,4948,4677,4860,5004,4953,4477,4792,4424,4633,0.19942998886108398,5173,5069,4989,5100,0.21249175071716309
4264,4896,4964,4948,4677,4860,5004,4953,4477,4792,4424,4633,0.19942998886108398,5177,5089,4989,5096,0.21448993682861328
4264,4896,4964,4948,4677,4860,5004,4953,4477,4792,4424,4633,0.19942998886108398,5184,5069,4988,5100,0.21748971939086914
4304,4892,4972,4956,4672,4860,5016,4949,4477,4789,4421,4645,0.2014293670654297,5172,5077,4992,5108,0.2204885482788086
4293,4904,4961,4953,4672,4852,5005,4944,4481,4784,4420,4645,0.2039475440979004,5164,5069,4981,5097,0.22249269485473633
4304,4896,4976,4948,4677,4853,5009,4953,4473,4784,4417,4637,0.21349096298217773,5169,5076,4989,5093,0.23043298721313477
4304,4896,4976,4948,4677,4853,5009,4953,4473,4784,4417,4637,0.21349096298217773,5169,5080,4985,5096,0.23242640495300293
4308,4909,4972,4956,4684,4857,5004,4948,4481,4789,4428,4633,0.21648883819580078,5169,5076,4981,5108,0.23642778396606445
4316,4885,4969,4953,4669,4856,5000,4960,4480,4785,4420,4636,0.22942519187927246,5173,5069,4992,5105,0.2451167106628418
4316,4885,4969,4953,4669,4856,5000,4960,4480,4785,4420,4636,0.22942519187927246,5177,5068,4989,5089,0.24811983108520508
4296,4896,4973,4957,4684,4849,5000,4949,4488,4796,4420,4640,0.2314281463623047,5180,5081,4992,5101,0.25011706352233887
4300,4896,4969,4956,4664,4864,5005,4945,4476,4789,4420,4649,0.23242640495300293,5172,5073,4988,5100,0.252117395401001
4309,4884,4972,4953,4664,4857,5005,4956,4476,4793,4413,4645,0.2374272346496582,5176,5081,4992,5088,0.25612330436706543
4304,4908,4964,4944,4673,4856,5004,4948,4488,4781,4420,4648,0.2461223602294922,5177,5076,4988,5104,0.2650110721588135
4317,4892,4972,4953,4681,4857,5009,4952,4484,4788,4428,4644,0.24712014198303223,5173,5077,4988,5097,0.26703739166259766
4277,4861,4948,4956,4672,4857,5017,4957,4477,4788,4416,4637,0.25411415100097656,5180,5073,4992,5100,0.2730255126953125
4316,4901,4969,4952,4676,4864,5016,4952,4481,4781,4417,4644,0.26299452781677246,5189,5073,4992,5097,0.27886223793029785
4316,4901,4969,4952,4676,4864,5016,4952,4481,4781,4417,4644,0.26299452781677246,5177,5076,4992,5097,0.27985429763793945
4293,4908,4964,4941,4669,4864,5012,4957,4480,4792,4421,4633,0.2660353183746338,5180,5064,4973,5100,0.2858450412750244
4308,4893,4960,4948,4661,4865,5013,4960,4476,4797,4420,4632,0.2710294723510742,5173,5073,4993,5089,0.28886890411376953
4297,4904,4961,4956,4661,4852,5016,4956,4484,4789,4417,4636,0.2808527946472168,5172,5081,4992,5101,0.2980465888977051
4297,4904,4961,4956,4661,4852,5016,4956,4484,4789,4417,4636,0.2808527946472168,5176,5085,4989,5101,0.3000667095184326
4304,4892,4961,4948,4673,4860,5013,4952,4477,4793,4417,4641,0.2828493118286133,5176,5076,4992,5100,0.3020439147949219
4292,4892,4969,4953,4669,4868,5016,4956,4477,4788,4424,4648,0.2868461608886719,5180,5076,4992,5101,0.3040444850921631
4308,4892,4972,4953,4664,4865,5017,4949,4481,4788,4421,4640,0.2960326671600342,5169,5072,4985,5096,0.313723087310791
4320,4901,4968,4952,4676,4848,5012,4953,4473,4788,4421,4636,0.29705142974853516,5173,5076,4985,5093,0.3167130947113037
4304,4893,4957,4928,4673,4857,5012,4952,4480,4792,4417,4648,0.2990684509277344,5176,5084,4985,5101,0.318709135055542
4308,4896,4972,4945,4669,4868,5005,4948,4473,4781,4421,4641,0.3010737895965576,5180,5068,4988,5092,0.32073020935058594
