OM1,OM2,OM3,OM4,OM5,OM6,OM7,OM8,OM9,OM10,OM11,OM12,om_time,LASK1,LASK2,LASK3,LASK4,lask_time
4180,4056,4177,4668,3744,4577,4736,4969,3700,4024,4125,3977,0.007976531982421875,5185,5077,4996,5109,0.01696467399597168
4160,4072,4185,4652,3741,4568,4737,4961,3704,4017,4125,3980,0.009970664978027344,5185,5084,5001,5116,0.017952680587768555
4172,4048,4185,4653,3753,4580,4733,4964,3700,4025,4125,3968,0.013961553573608398,5188,5085,4993,5112,0.032911062240600586
4149,4069,4177,4657,3753,4576,4737,4965,3700,4028,4125,3976,0.014961957931518555,5185,5085,5001,5105,0.03395843505859375
4177,4068,4192,4648,3744,4572,4737,4965,3697,4017,4125,3992,0.01994490623474121,5185,5077,5004,5112,0.0399317741394043
4169,4057,4161,4661,3752,4572,4737,4965,3705,4020,4125,3992,0.02692580223083496,5200,5057,4973,5097,0.042925119400024414
4181,4088,4164,4645,3744,4565,4736,4960,3700,4016,4148,3984,0.02960348129272461,5196,5076,4997,5108,0.047910213470458984
4172,4068,4177,4656,3749,4573,4729,4960,3708,4021,4125,3989,0.03793811798095703,5188,5092,5000,5113,0.05411100387573242
4165,4041,4165,4673,3753,4573,4744,4969,3701,4024,4125,3977,0.05803704261779785,5189,5084,5000,5101,0.0763845443725586
4165,4041,4165,4673,3753,4573,4744,4969,3701,4024,4125,3977,0.05803704261779785,5184,5088,5004,5109,0.07738280296325684
4165,4073,4169,4656,3745,4576,4737,4965,3708,4028,4125,3972,0.059070587158203125,5180,5084,5004,5108,0.07837820053100586
4177,4060,4164,4652,3760,4565,4737,4965,3700,4024,4125,3977,0.07438969612121582,5181,5088,4992,5109,0.08936572074890137
4177,4060,4164,4652,3760,4565,4737,4965,3700,4024,4125,3977,0.07438969612121582,5188,5080,4993,5116,0.0903630256652832
4177,4060,4164,4652,3760,4565,4737,4965,3700,4024,4125,3977,0.07438969612121582,5177,5084,5001,5105,0.09136080741882324
4177,4060,4164,4652,3760,4565,4737,4965,3700,4024,4125,3977,0.07438969612121582,5188,5092,4992,5116,0.09235787391662598
