Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5180,5080,4996,5104,5181.37,5079.8,4991.734166666667,5099.9475
5225,4213,5001,5100,5212.264,4489.341166666667,5005.648928571429,5033.905
5176,5081,4989,5089,5181.978999999999,5079.525166666666,4991.263333333333,5093.246499999999
5184,5073,4776,5109,5177.4365,5068.6033333333335,4973.37,5090.85
5193,4976,4993,5097,5182.105333333334,5049.400047619047,4993.1671904761915,5098.357166666668
5192,5084,5004,4772,5188.584688311687,5086.329044011544,5020.115417388169,4295.732887806637
5193,5077,4996,5032,5194.34630952381,4954.0535714285725,4996.635555555556,4966.713333333333
5180,5085,4996,5100,5179.693416666667,5078.267007575758,4983.053571428572,5099.1510119047625
5117,5073,4992,5101,5116.663714285714,5078.155333333333,4991.818,5092.15225
5205,5081,5028,4205,5195.345904761905,5079.914714285714,5021.421404761904,4330.095380952381
5188,5077,4933,5097,5193.4906666666675,5079.745,4787.6725,5087.469
5185,5064,4988,5101,5184.9345,4973.329833333333,4993.2046666666665,5098.241111111111
5181,5080,4993,5104,5180.845928571428,5079.2,4993.6934404761905,4987.568583333334
5200,4949,4912,5104,5189.8775,5069.940238095238,4948.404,5099.234166666667
5196,5088,4897,5097,5189.896,5074.382380952381,4915.378666666666,5096.9980000000005
5180,5076,4988,5093,5192.812666666667,5076.696595238096,4990.469833333334,5092.804666666666
5200,5076,4993,5096,5192.323333333334,5079.514333333333,4967.232666666666,5093.697666666666
5189,4940,4996,5100,5195.254333333333,4900.233833333334,4998.703761904762,5101.225833333333
5200,5080,4989,5065,5191.683333333333,5073.566666666667,4993.957666666666,5008.146
5201,5109,4001,5084,5194.861,5099.036666666666,4138.812888888889,5072.004166666667
5204,5073,4992,5092,5187.49,5080.291666666667,4993.775,5082.47
3189,4969,5012,5104,3981.4279047619043,5061.57673015873,5002.407333333334,5101.859738095238
5184,5069,4948,5097,5188.435666666666,5078.407999999999,4630.091666666667,5099.1483333333335
5184,5080,4993,5093,5180.07,5079.565,4990.589166666667,5098.861166666667
5181,5080,4992,5104,5182.047500000001,5081.2155,4992.838333333334,5096.746166666667
5193,5076,4985,5080,5194.232202380953,5079.950428571428,4995.697452380953,5002.050499999999
5181,5084,5004,4872,5172.6748333333335,5069.460333333333,4999.539666666667,4869.2825
5185,5077,4992,5108,5181.624952380952,5077.946166666667,4992.269166666666,5091.212
5184,5077,4992,5104,5180.1205,5081.596666666667,4991.817333333334,5097.639452380952
5141,5080,4992,5089,5117.6075,5074.318333333333,4993.5675,5029.3060000000005
5188,5089,4992,5097,5188.440833333333,5071.858,4990.104,5097.660000000001
4292,3913,3745,4177,4327.3116666666665,3943.0739999999996,3731.9346428571425,4185.028666666666
3928,5068,4993,5097,4046.1141666666663,5066.118333333334,4999.1,5097.546809523809
5177,5081,4993,5068,5179.05,5069.872523809524,4990.340999999999,5098.784404761905
5188,5076,4992,5084,5168.791964285714,5050.149861111111,4992.888333333333,5082.285166666666
5112,5077,4992,5104,5064.7325,5069.29380952381,4995.745111111111,5099.929777777778
5181,5085,5000,4952,5168.486666666667,5078.2462857142855,4987.2696428571435,5089.275015873016
5184,5077,4992,5100,5172.588333333333,5080.778666666666,4986.3375,5089.212
5188,5077,4996,5104,5189.36,5063.500166666667,4987.39,5083.441083333333
5184,5076,4992,5093,5135.013333333333,5068.112,4973.636071428572,4930.12
4169,5036,5001,5105,4077.015,5023.045,5000.995,5101.555333333334
5185,5005,4985,5092,5193.1905,4997.912166666667,4995.686166666667,5094.661666666666
