Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5197,4844,4996,5109,5211.330043650794,4557.670055322129,5000.237749999999,5107.417333333335
5185,5100,4144,5141,5187.570833333334,5086.2401666666665,4474.019333333333,5105.2266666666665
3301,5032,5004,5112,4035.7087747252763,5059.354333333334,4888.749547619047,5097.720904761905
5149,5081,4996,5097,5184.236285714285,5087.874964285716,4993.298833333333,5103.202809523809
5184,5088,4973,5093,5189.025151515152,5084.208,4974.277202380953,5083.8654166666665
4992,4744,4581,4333,4582.934333333334,4358.0535,4355.052190476191,4400.465166666667
5197,5081,4992,5101,5193.621595238095,5082.40780952381,5000.573666666667,4985.8724999999995
5180,5088,4992,5088,5186.443666666667,5080.517833333333,4991.4115,5075.248833333333
5185,5081,4992,5113,5192.064666666667,5085.339166666667,4967.8595000000005,5101.766416666666
5193,4869,5000,5105,5191.98125,4945.6295,4998.6305,5107.647333333333
5185,5072,4993,5097,5186.215023809524,5082.1743333333325,4991.4235,5104.990666666667
5032,5085,5000,5096,4873.304777777777,5089.537833333334,4995.464452380952,5103.716833333333
5181,5077,4996,5089,5194.036,5077.435,4984.16,5075.17
5184,5084,4993,5101,5182.0875,5081.150166666666,4998.683000000001,5104.22
5185,5096,4993,5100,5176.070202380952,5111.049178571429,4991.3297142857145,5098.0511150793645
5205,5104,3933,5145,5188.265,5129.750904761904,4196.050619047619,5113.379976190477
5181,5093,4221,5149,5178.746749999999,5102.66776984127,4547.105869047618,5112.877285714286
3732,5084,5005,5109,3798.562959595959,5088.6125,4982.536,5107.193317460317
5189,5077,4992,5096,5074.773952380952,5082.032999999999,4995.2325,5098.241666666667
5188,5065,4992,5104,5130.218333333334,4920.415666666667,4968.7305,5105.918928571428
5197,5097,4456,5144,5183.275333333333,5100.804893939395,4417.971428571429,5113.193090909091
5200,5084,4997,5100,5187.6506944444445,5082.314464285714,4992.106857142857,5099.585047619049
5184,5069,4996,5096,5175.294333333333,5070.052607142857,4958.03,5044.817666666667
5185,5081,4972,5100,5186.905142857143,5082.815833333332,4893.431119047618,5097.895722943723
5192,5073,4992,5037,5187.970476190476,5079.998500000001,4990.853488095238,5038.833611111111
5145,5093,4997,5113,5172.7193333333325,5084.556250000001,4973.30756060606,5103.034732142857
5224,4281,4988,5105,5193.4510833333325,4537.120083333333,4992.395666666666,5110.818310606061
3940,4109,3760,4253,4037.9887976190485,4113.731666666666,3807.596826839826,4592.668
5205,5109,4056,5117,5144.726515151516,5094.815714285714,4324.743109890111,5140.189
5197,5085,4989,5100,5117.3615,5080.465,4960.612,5090.4125555555565
5180,5096,4993,5097,5185.9228095238095,5088.076166666667,4994.548333333333,5105.264
5193,5084,5025,4260,5169.218972222222,5093.834333333333,4934.035372807018,4373.62
5197,5092,5012,4860,5192.620285714285,5080.19,4939.690833333333,4882.784935897436
5197,5084,4992,5096,5193.777499999999,5081.516333333333,4967.805777777778,4962.485227106227
4020,4149,3909,4224,4315.71,4198.7283333333335,3961.76,4282.827499999999
5224,4069,4992,5112,5219.67630952381,4152.970119047618,4987.9023809523815,5111.796666666667
5185,5088,4996,5104,5187.685023809524,5090.709583333333,4955.649571428571,5106.116
5192,5088,4992,5101,5182.502154761905,5080.51794047619,4945.797916666666,5009.848369047619
5145,5084,5001,5101,4943.528944444444,5084.385952380953,4992.755833333333,5102.682999999999
3945,3921,3689,4317,4011.6044047619057,3988.5253333333326,3772.4013571428577,4439.5121190476175
