OM1,OM2,OM3,OM4,OM5,OM6,OM7,OM8,OM9,OM10,OM11,OM12,om_time,LASK1,LASK2,LASK3,LASK4,lask_time
4292,4148,4193,4576,4245,4661,4580,4976,4124,4093,4305,3480,0.00897669792175293,5177,5088,4997,5100,0.006981611251831055
4292,4148,4193,4576,4245,4661,4580,4976,4124,4093,4305,3480,0.00897669792175293,5185,5084,4996,5101,0.017955303192138672
4289,4161,4188,4577,4245,4661,4585,4961,4117,4120,4309,3492,0.013962984085083008,5184,5077,4997,5100,0.010971546173095703
4289,4161,4188,4577,4245,4661,4585,4961,4117,4120,4309,3492,0.013962984085083008,5176,5081,4992,5097,0.029922962188720703
4273,4140,4193,4581,4236,4665,4580,4977,4125,4117,4313,3481,0.01695537567138672,5184,5080,4996,5100,0.028922319412231445
4273,4140,4193,4581,4236,4665,4580,4977,4125,4117,4313,3481,0.01695537567138672,5176,5080,4996,5104,0.036900997161865234
4280,4161,4201,4573,4252,4661,4584,4980,4125,4088,4313,3468,0.02692890167236328,5181,5088,4992,5108,0.03191494941711426
4301,4149,4196,4581,4241,4656,4593,4980,4125,4089,4308,3492,0.03789949417114258,5180,5077,5001,5097,0.05173635482788086
4284,4149,4184,4561,4256,4649,4581,4981,4125,4117,4309,3477,0.0388951301574707,5181,5077,4992,5096,0.053730010986328125
4301,4149,4196,4581,4241,4656,4593,4980,4125,4089,4308,3492,0.03789949417114258,5185,5081,4996,5104,0.05472707748413086
4301,4149,4196,4581,4241,4656,4593,4980,4125,4089,4308,3492,0.03789949417114258,5188,5093,5004,5100,0.05672168731689453
4288,4161,4200,4577,4241,4656,4581,4976,4124,4088,4313,3477,0.03989410400390625,5185,5081,4996,5112,0.05971384048461914
4280,4149,4168,4544,4232,4669,4556,4984,4125,4081,4313,3477,0.05074644088745117,5181,5080,4996,5092,0.0696866512298584
4280,4149,4168,4544,4232,4669,4556,4984,4125,4081,4313,3477,0.05074644088745117,5188,5077,4997,5097,0.07068490982055664
4280,4149,4192,4569,4236,4660,4588,4984,4125,4092,4313,3473,0.05273294448852539,5189,5081,4993,5101,0.07168173789978027
4261,4160,4185,4572,4240,4661,4581,4985,4121,4089,4313,3468,0.05472707748413086,5184,5092,4992,5109,0.07467508316040039
4280,4168,4197,4576,4244,4665,4588,4985,4125,4093,4312,3468,0.05672168731689453,5176,5088,4997,5104,0.07567238807678223
4292,4141,4185,4556,4245,4653,4585,4984,4121,4120,4301,3477,0.061708927154541016,5180,5081,5004,5101,0.08065986633300781
4277,4205,4185,4580,4241,4652,4589,4960,4121,4093,4301,3453,0.07168173789978027,5173,5076,4993,5100,0.09063100814819336
4276,4161,4176,4580,4244,4653,4580,4977,4124,4092,4297,3452,0.07766604423522949,5180,5076,4992,5100,0.0946204662322998
4276,4161,4176,4580,4244,4653,4580,4977,4124,4092,4297,3452,0.07766604423522949,5184,5077,5001,5105,0.09661674499511719
4281,4157,4176,4568,4241,4656,4580,4984,4120,4112,4308,3445,0.0916287899017334,5181,5076,5004,5105,0.10410356521606445
4281,4157,4176,4568,4241,4656,4580,4984,4120,4112,4308,3445,0.0916287899017334,5181,5068,5001,5096,0.10509967803955078
4281,4157,4176,4568,4241,4656,4580,4984,4120,4112,4308,3445,0.0916287899017334,5144,5140,4989,5093,0.10709452629089355
4288,4145,4172,4564,4252,4652,4580,4973,4121,4089,4304,3456,0.10310506820678711,5181,5081,4996,5105,0.11906170845031738
4288,4145,4172,4564,4252,4652,4580,4973,4121,4089,4304,3456,0.10310506820678711,5188,5081,4996,5100,0.1220541000366211
4280,4161,4197,4580,4245,4656,4581,4976,4121,4177,4301,3468,0.1080927848815918,5193,5089,4997,5109,0.12404847145080566
4280,4161,4197,4580,4245,4656,4581,4976,4121,4177,4301,3468,0.1080927848815918,5189,5085,4996,5101,0.1250460147857666
4280,4161,4197,4580,4245,4656,4581,4976,4121,4177,4301,3468,0.1080927848815918,5181,5085,4996,5101,0.12604355812072754
4288,4141,4208,4569,4245,4653,4577,4977,4125,4109,4301,3456,0.12005972862243652,5184,5080,4993,5112,0.13402175903320312
4288,4141,4208,4569,4245,4653,4577,4977,4125,4109,4301,3456,0.12005972862243652,5177,5077,5001,5109,0.1360163688659668
4288,4141,4208,4569,4245,4653,4577,4977,4125,4109,4301,3456,0.12005972862243652,5181,5084,4992,5097,0.13701367378234863
4288,4141,4208,4569,4245,4653,4577,4977,4125,4109,4301,3456,0.12005972862243652,5185,5092,4993,5101,0.1390089988708496
4268,4156,4193,4573,4249,4648,4580,4977,4125,4109,4301,3457,0.12305116653442383,5185,5080,4996,5108,0.14299869537353516
4268,4156,4193,4573,4249,4648,4580,4977,4125,4109,4301,3457,0.12305116653442383,5184,5080,4992,5101,0.14299869537353516
4285,4180,4200,4576,4245,4649,4581,4981,4125,4108,4301,3481,0.12704086303710938,5188,5080,5000,5100,0.14499282836914062
4269,4141,4184,4576,4252,4656,4576,4976,4124,4088,4293,3484,0.13501906394958496,5177,5084,4997,5104,0.15497136116027832
4284,4164,4196,4576,4245,4660,4584,4980,4124,4092,4305,3472,0.13801193237304688,5184,5077,4992,5112,0.1569671630859375
4284,4164,4196,4576,4245,4660,4584,4980,4124,4092,4305,3472,0.13801193237304688,5180,5072,4996,5105,0.15796351432800293
4284,4164,4196,4576,4245,4660,4584,4980,4124,4092,4305,3472,0.13801193237304688,5176,5080,5004,5104,0.15796351432800293
4269,4152,4188,4569,4248,4653,4581,4981,4125,4089,4296,3468,0.14599013328552246,5184,5081,4993,5097,0.15896058082580566
4269,4152,4188,4569,4248,4653,4581,4981,4125,4089,4296,3468,0.14599013328552246,5181,5077,4996,5104,0.16095709800720215
4265,4160,4188,4576,4269,4657,4592,4989,4121,4081,4297,3489,0.15098214149475098,5180,5093,4992,5100,0.16893506050109863
4265,4160,4188,4576,4269,4657,4592,4989,4121,4081,4297,3489,0.15098214149475098,5180,5088,4992,5116,0.16993165016174316
