OM1,OM2,OM3,OM4,OM5,OM6,OM7,OM8,OM9,OM10,OM11,OM12,OM_time,LASK1,LASK2,LASK3,LASK4,LASK_time
1309,5020,5161,4897,5065,5084,5176,4985,5041,4820,5253,4857,65.46268511,5216,5140,5036,5152,65.46768713
1309,5020,5161,4897,5065,5084,5176,4985,5041,4820,5253,4857,65.46268511,5197,5104,5013,5145,65.46868443
1313,5028,5160,4901,5069,5080,5177,4981,5049,4828,5253,4865,65.46368766,5205,5113,5024,5148,65.46868443
1309,5020,5161,4897,5065,5084,5176,4985,5041,4820,5253,4857,65.46268511,5208,5112,5013,5149,65.47169852
1309,5020,5161,4897,5065,5084,5176,4985,5041,4820,5253,4857,65.46268511,5209,5109,5016,5137,65.47668576
1333,5017,5157,4893,5084,5069,5181,4981,5048,4832,5260,4869,65.47068501,5204,5117,5017,5144,65.48868442
1340,5005,5141,4900,5065,5073,5181,4988,5049,4832,5257,4869,65.47568488,5200,5109,5021,5116,65.49268556
1340,5005,5141,4900,5065,5073,5181,4988,5049,4832,5257,4869,65.47568488,5197,5109,5021,5144,65.4946878
1321,5016,5148,4888,5065,5093,5181,4988,5048,4824,5260,4873,65.48568702,5196,5112,5020,5145,65.49868584
1321,5016,5148,4888,5065,5093,5181,4988,5048,4824,5260,4873,65.48568702,5201,5117,5020,5141,65.50268388
1312,5016,5148,4893,5076,5085,5181,4981,5049,4821,5264,4865,65.49268556,5204,5113,5009,5144,65.50768399
1312,5016,5148,4893,5076,5085,5181,4981,5049,4821,5264,4865,65.49268556,5201,5112,5012,5144,65.51068521
1369,5025,5156,4904,5076,5093,5177,4981,5049,4824,5256,4861,65.5056839,5208,5112,5012,5148,65.51868629
1369,5025,5156,4904,5076,5093,5177,4981,5049,4824,5256,4861,65.5056839,5201,5113,5013,5148,65.52268529
1325,5021,5149,4901,5088,5069,5181,4984,5056,4828,5256,4865,65.52268529,5212,5113,5008,5141,65.53968525
1325,5021,5149,4901,5088,5069,5181,4984,5056,4828,5256,4865,65.52268529,5197,5109,5017,5104,65.54068589
1352,5020,5156,4893,5076,5104,5181,4985,5057,4832,5264,4844,65.52868533,5197,5113,5017,5133,65.54268694
1352,5020,5156,4893,5076,5104,5181,4985,5057,4832,5264,4844,65.52868533,5197,5140,5020,5148,65.54568434
1320,5013,5145,4897,5084,5089,5180,4980,5045,4832,5256,4861,65.53968525,5205,5108,5021,5148,65.54968548
313,4989,5168,4900,5072,5088,5181,4981,5044,4825,5260,4864,65.5436852,5208,5116,5016,5144,65.56268597
1268,5021,5157,4901,5060,5081,5177,4985,5049,4824,5257,4864,65.56268597,5200,5116,5013,5117,65.57168579
1268,5021,5157,4901,5060,5081,5177,4985,5049,4824,5257,4864,65.56268597,5201,5112,5024,5140,65.57368875
1268,5021,5157,4901,5060,5081,5177,4985,5049,4824,5257,4864,65.56268597,5209,5104,5009,5140,65.57568526
1268,5021,5157,4901,5060,5081,5177,4985,5049,4824,5257,4864,65.56268597,5196,5113,5013,5148,65.5776844
1289,5017,5160,4893,5084,5081,5181,4988,5049,4805,5261,4869,65.57268572,5213,5105,5017,5137,65.58768535
1324,5016,5157,4900,5065,5092,5181,4988,5052,4833,5256,4873,65.57468581,5205,5117,5016,5149,65.59368396
1289,5016,5160,4904,5076,5084,5181,4989,5044,4824,5257,4865,65.57668614,5201,5105,5009,5117,65.5956893
1309,5020,5145,4917,5089,5097,5180,4981,5049,4832,5257,4861,65.58868527,5204,5116,5021,5145,65.60168362
